0.25,0.37,0.07,3,5,3,2,0,a
0.425,0.27,0.82,5,3,0,2,1,b
0.575,0.08,0.89,2,1,5,3,1,c
0.3,0.37,0.06,1,5,1,3,4,a
0.55,0.17,0.97,5,4,3,0,2,c
0.25,0.46,0.04,3,1,0,2,5,a
0.5,0.42,0.89,4,0,5,2,3,b
0.325,0.49,0.08,0,2,0,4,0,a
0.275,0.37,0.03,1,5,5,5,2,a
0.55,0.31,0.83,5,0,3,3,5,b
0.95,0.98,0.31,1,3,1,5,5,e
0.475,0.39,0.8,5,2,1,3,4,b
0.375,0.44,0.1,2,2,3,3,5,a
0.975,0.92,0.34,3,4,1,4,1,e
0.65,0.12,0.93,2,3,4,1,3,c
0.9,0.93,0.42,4,5,2,3,2,e
0.3,0.42,0.04,4,1,0,5,2,a
0.475,0.4,0.81,3,4,5,5,2,b
0.65,0.13,0.93,0,4,4,3,0,c
0.725,0.55,0.82,1,5,1,1,0,d
0.625,0.07,0.94,3,0,2,1,2,c
0.95,0.88,0.33,0,3,1,1,2,e
0.9,0.99,0.4,5,4,2,4,2,e
0.575,0.11,0.96,2,2,2,0,2,c
0.675,0.04,0.84,0,2,0,0,0,c
0.975,0.92,0.3,4,0,1,0,5,e
0.325,0.5,0.04,4,0,4,1,4,a
0.325,0.38,0.12,2,2,1,3,2,a
0.275,0.38,0.09,2,2,0,2,5,a
0.45,0.38,0.9,1,5,3,1,1,b
0.5,0.39,0.87,4,4,4,0,1,b
0.725,0.45,0.85,2,4,2,4,1,d
0.8,0.52,0.88,1,3,1,3,0,d
0.85,0.9,0.37,0,4,4,2,0,e
0.65,0.1,0.98,0,0,5,5,3,c
0.425,0.37,0.85,2,5,0,2,5,b
0.375,0.43,0.04,2,4,3,0,4,a
0.55,0.35,0.92,0,3,0,3,0,b
0.525,0.32,0.83,0,0,3,2,0,b
0.95,0.96,0.37,2,1,3,5,1,e
0.425,0.29,0.85,1,4,5,4,0,b
0.725,0.41,0.86,5,3,1,3,1,d
0.575,0.12,0.97,2,5,2,1,3,c
0.75,0.45,0.89,4,0,4,0,5,d
0.75,0.48,0.9,0,4,5,4,0,d
0.725,0.51,0.87,3,1,2,3,0,d
0.525,0.37,0.87,3,4,2,2,5,b
0.35,0.49,0.03,3,0,4,3,0,a
0.75,0.45,0.91,4,2,4,3,5,d
0.25,0.46,0.03,4,1,3,4,4,a
0.825,0.49,0.85,0,3,2,1,0,d
0.575,0.02,0.92,1,0,1,3,3,c
0.625,0.08,0.96,3,0,4,4,0,c
0.95,0.94,0.44,4,5,3,1,5,e
0.6,0.06,0.85,0,2,0,1,4,c
0.275,0.49,0.08,4,5,4,2,1,a
0.35,0.48,0.09,0,0,4,3,5,a
0.5,0.42,0.93,1,0,1,3,5,b
0.925,0.9,0.4,1,5,5,0,5,e
0.75,0.52,0.97,1,5,4,4,1,d
0.65,0.08,0.91,2,0,5,4,4,c
0.95,0.91,0.33,2,2,5,0,0,e
0.825,0.53,0.94,3,5,4,5,3,d
0.475,0.4,0.85,3,5,5,1,2,b
0.95,0.92,0.4,2,0,0,4,2,e
0.375,0.42,0.12,0,3,3,1,0,a
0.8,0.48,0.85,2,1,3,0,2,d
0.5,0.4,0.83,2,0,4,4,2,b
0.3,0.47,0.09,0,5,2,4,5,a
0.475,0.28,0.94,5,1,0,2,5,b
0.525,0.41,0.82,3,4,2,5,5,b
0.425,0.34,0.93,4,1,1,5,5,b
0.85,0.5,0.87,5,2,1,1,3,d
0.525,0.33,0.84,1,5,4,1,2,b
0.825,0.4,0.9,1,3,2,4,1,d
0.475,0.37,0.86,3,5,2,5,4,b
0.325,0.42,0.01,5,1,1,3,2,a
0.675,0.14,0.94,2,3,4,3,1,c
0.8,0.49,0.79,0,3,0,4,4,d
0.925,1.0,0.39,5,0,4,2,0,e
0.675,0.18,0.97,1,5,5,0,0,c
0.3,0.37,0.1,0,1,4,1,2,a
0.3,0.41,0.14,0,0,5,0,2,a
0.375,0.48,0.02,5,2,1,4,2,a
0.275,0.36,0.05,2,1,3,0,4,a
0.425,0.44,0.8,2,1,3,2,3,b
0.35,0.41,0.06,2,1,1,5,0,a
0.9,0.89,0.42,4,3,4,3,2,e
0.65,0.1,0.85,4,1,5,3,2,c
0.925,0.93,0.34,0,5,2,5,5,e
0.975,0.88,0.38,0,0,4,1,1,e
0.625,0.07,0.87,3,4,2,5,0,c
1.0,0.9,0.35,4,5,0,5,3,e
0.725,0.58,0.91,0,5,1,5,4,d
0.5,0.38,0.81,1,2,2,4,4,b
0.925,0.87,0.32,3,0,0,4,3,e
0.7,0.5,0.82,3,4,0,1,3,d
0.825,0.45,0.86,2,4,2,5,4,d
0.6,0.15,0.91,1,1,0,2,1,c
0.35,0.42,0.07,1,4,3,1,4,a
0.35,0.43,0.01,0,5,2,2,3,a
0.8,0.55,0.9,2,3,0,1,5,d
0.375,0.42,0.06,1,0,4,3,1,a
0.325,0.51,0.04,0,2,4,4,2,a
0.475,0.35,0.85,1,0,1,3,0,b
0.625,0.13,0.89,5,4,0,2,1,c
0.675,0.04,0.93,3,0,5,1,2,c
0.425,0.38,0.06,5,2,0,4,2,a
0.25,0.47,0.1,4,0,1,4,2,a
0.5,0.35,0.8,3,0,1,1,4,b
0.875,0.89,0.44,1,2,1,0,3,e
0.275,0.38,0.0,2,2,2,2,1,a
0.8,0.43,0.89,3,2,4,1,4,d
0.625,0.16,0.83,3,2,4,2,1,c
0.675,0.07,0.9,4,3,0,2,1,c
0.775,0.52,0.94,4,3,3,2,4,d
0.775,0.49,0.93,0,1,3,3,2,d
0.85,0.45,0.91,3,4,3,1,4,d
0.5,0.31,0.91,1,1,5,3,5,b
0.4,0.33,0.82,2,4,4,3,2,b
0.975,0.96,0.42,3,5,5,5,5,e
0.775,0.42,0.87,2,3,3,4,5,d
0.925,0.93,0.43,3,2,0,5,4,e
0.575,0.38,0.91,3,5,1,4,4,b
0.4,0.29,0.9,1,2,4,0,4,b
0.6,0.1,0.94,3,1,3,4,1,c
0.6,0.09,0.95,5,5,0,1,2,c
0.875,0.82,0.39,1,0,3,0,4,e
0.7,0.18,0.85,2,2,1,1,0,c
0.5,0.43,0.84,5,3,3,3,3,b
0.6,0.04,0.93,5,4,2,3,1,c
0.425,0.37,0.83,1,4,5,1,5,b
0.85,0.5,0.93,2,3,1,4,1,d
0.9,0.96,0.29,3,3,0,0,5,e
0.325,0.39,0.12,0,5,1,4,2,a
0.375,0.46,0.04,5,4,0,3,5,a
0.65,0.09,0.97,1,1,4,5,0,c
0.3,0.39,0.1,1,1,1,0,3,a
0.45,0.35,0.8,2,2,1,5,0,b
0.8,0.48,0.86,4,0,1,2,5,d
0.475,0.29,0.82,0,0,1,0,3,b
0.825,0.47,0.81,4,2,1,3,2,d
0.525,0.35,0.88,1,3,4,0,4,b
0.95,0.92,0.37,2,2,0,1,1,e
0.775,0.52,0.81,1,4,5,3,4,d
0.95,0.93,0.32,5,3,3,1,1,e
0.85,0.95,0.44,0,4,2,3,4,e
0.55,0.44,0.85,0,5,0,4,5,b
0.825,0.41,0.85,5,4,1,5,1,d
0.925,0.93,0.34,5,5,2,4,2,e
0.8,0.46,0.83,2,1,3,4,4,d
0.575,0.13,0.96,3,4,5,4,4,c
0.725,0.43,0.86,0,3,2,1,4,d
0.875,0.97,0.39,0,3,0,5,1,e
0.475,0.35,0.8,1,1,1,4,5,b
0.25,0.42,0.13,1,0,0,5,5,a
0.525,0.34,0.89,2,0,4,5,1,b
0.825,0.56,0.94,4,4,5,3,4,d
1.0,0.89,0.39,5,3,2,4,1,e
0.8,0.45,0.83,4,1,5,1,2,d
0.675,0.1,0.85,5,4,1,3,2,c
0.725,0.49,0.84,1,4,3,3,4,d
0.55,0.36,0.9,3,2,2,2,5,b
0.5,0.42,0.92,4,4,3,1,0,b
0.8,0.42,0.92,0,0,4,5,2,d
0.425,0.4,0.78,4,4,0,3,0,b
0.95,0.99,0.32,3,5,3,4,3,e
0.75,0.44,0.83,2,5,5,1,5,d
0.525,0.35,0.84,5,3,1,1,2,b
0.6,0.07,0.91,4,5,5,0,2,c
0.85,0.46,0.92,0,3,4,0,4,d
0.65,0.07,0.87,0,2,3,2,5,c
0.675,0.14,0.88,0,0,3,5,3,c
0.95,0.83,0.3,5,3,0,0,2,e
0.325,0.34,0.01,0,4,2,2,1,a
0.775,0.55,0.89,1,5,4,4,3,d
0.45,0.33,0.79,5,0,4,4,1,b
0.65,0.07,0.91,5,0,0,3,5,c
0.85,0.46,0.83,4,2,1,2,0,d
0.775,0.47,0.92,4,2,0,5,2,d
0.55,0.05,0.89,1,5,1,3,0,c
0.65,0.16,0.92,4,2,0,5,1,c
0.9,0.98,0.32,5,2,4,0,5,e
0.975,0.92,0.37,3,4,0,2,4,e
0.625,0.1,0.96,1,1,5,3,1,c
0.825,0.45,0.94,4,1,2,0,0,d
0.9,0.88,0.39,0,2,5,5,2,e
0.625,0.15,0.93,0,4,1,2,2,c
0.375,0.38,0.04,5,2,1,5,5,a
0.325,0.47,0.09,5,5,0,3,2,a
0.45,0.28,0.9,3,2,3,4,5,b
0.85,0.97,0.32,5,4,1,5,3,e
0.25,0.43,0.13,4,1,1,2,5,a
0.85,0.93,0.43,5,4,5,4,2,e
0.625,0.17,0.9,3,1,0,4,2,c
0.775,0.54,0.83,4,0,4,1,4,d
0.6,0.09,0.81,2,2,4,3,4,c
0.825,0.49,0.83,4,5,4,0,1,d
0.3,0.42,0.05,1,2,5,5,3,a
0.775,0.41,0.82,2,2,3,1,3,d
0.625,0.11,0.94,1,0,1,1,3,c
0.85,0.48,0.92,3,3,3,0,1,d
0.55,0.34,0.86,5,3,1,2,1,b
0.8,0.48,0.84,1,2,0,5,5,d
0.5,0.31,0.82,0,2,1,1,3,b
0.375,0.46,0.02,1,1,2,1,0,a
0.825,0.46,0.81,1,5,2,1,4,d
0.85,0.49,0.84,0,4,5,1,4,d
0.45,0.43,0.89,0,5,1,0,2,b
0.3,0.49,0.1,1,2,1,1,5,a
0.925,0.94,0.38,4,5,4,2,5,e
0.725,0.12,0.9,3,5,5,0,2,c
0.8,0.38,0.91,2,1,2,5,4,d
0.8,0.48,0.85,5,5,4,4,1,d
0.9,0.93,0.3,0,2,3,3,3,e
0.55,0.41,0.87,5,0,3,3,0,b
0.275,0.37,0.04,1,2,2,5,1,a
0.525,0.31,0.94,3,1,4,5,0,b
0.525,0.33,0.85,3,3,4,4,5,b
0.65,0.02,0.87,0,3,5,4,2,c
0.75,0.51,0.94,2,1,4,0,1,d
0.875,0.92,0.32,0,1,2,4,5,e
0.975,0.98,0.35,3,3,4,5,4,e
0.8,0.51,0.9,4,3,2,4,0,d
0.975,0.92,0.42,3,2,5,5,1,e
0.775,0.46,0.91,2,4,4,0,4,d
0.525,0.41,0.86,1,3,1,5,1,b
0.675,0.19,0.85,0,0,2,5,3,c
0.575,0.09,0.91,5,1,5,0,1,c
0.85,0.53,0.92,2,2,2,2,0,d
0.725,0.43,0.91,1,1,2,1,1,d
0.325,0.45,0.02,0,0,0,5,1,a
0.975,0.85,0.35,2,1,5,3,4,e
0.725,0.51,0.82,2,1,3,2,4,d
0.95,1.0,0.3,3,2,1,4,4,e
0.325,0.49,0.06,3,1,5,3,0,a
0.25,0.37,0.11,0,0,0,3,3,a
0.725,0.43,0.88,2,1,3,1,2,d
0.525,0.38,0.83,3,2,0,1,5,b
0.35,0.42,0.0,0,0,1,0,2,a
0.825,0.42,0.92,4,2,0,4,4,d
0.475,0.38,0.93,2,3,5,5,4,b
0.275,0.46,0.07,1,4,5,4,4,a
0.4,0.37,0.03,4,0,4,2,4,a
0.95,0.9,0.35,2,3,2,2,5,e
0.775,0.4,0.81,1,0,1,2,3,d
0.55,0.4,0.89,1,2,2,4,5,b
0.95,0.92,0.39,5,5,0,4,0,e
0.925,0.88,0.4,3,4,0,1,4,e
0.3,0.37,0.05,2,3,1,0,5,a
0.9,1.0,0.35,1,5,0,4,2,e
0.75,0.42,0.85,1,0,0,1,3,d
0.475,0.39,0.94,2,1,1,0,2,b
0.675,0.09,0.9,0,2,0,0,3,c
0.925,0.86,0.37,5,2,1,5,1,e
0.35,0.44,0.03,0,2,4,2,0,a
0.625,0.17,0.82,2,3,3,2,5,c
0.575,0.09,0.95,2,3,1,0,5,c
0.55,0.43,0.81,3,1,5,1,3,b
0.65,0.06,0.91,1,5,4,0,0,c
0.925,0.91,0.33,5,2,2,2,3,e
0.675,0.13,0.89,3,1,1,5,0,c
0.475,0.38,0.9,5,0,5,3,1,b
0.3,0.41,0.04,4,1,2,5,4,a
0.775,0.49,0.82,1,0,4,3,3,d
0.6,0.11,0.83,5,4,3,2,2,c
0.3,0.43,0.07,0,2,5,2,3,a
0.85,0.47,0.91,1,5,5,4,1,d
0.875,0.94,0.44,1,1,3,3,4,e
0.375,0.41,0.02,0,3,5,3,3,a
0.85,0.49,0.83,4,5,1,5,0,d
0.45,0.33,0.89,2,0,5,2,5,b
1.0,0.97,0.42,4,3,4,2,1,e
0.8,0.54,0.93,5,4,4,2,0,d
0.65,0.1,0.94,1,5,1,3,4,c
0.35,0.51,0.04,0,0,0,2,0,a
0.525,0.32,0.8,3,4,5,5,3,b
0.55,0.4,0.87,1,3,0,1,2,b
0.925,0.98,0.33,5,3,3,2,1,e
0.85,0.44,0.9,3,5,1,0,0,d
0.6,0.05,0.88,0,4,3,1,0,c
0.65,0.12,0.99,2,3,5,5,2,c
0.45,0.4,0.83,2,0,0,3,1,b
0.625,0.16,0.93,5,1,3,2,2,c
0.775,0.44,0.93,5,4,1,1,0,d
0.7,0.2,0.89,1,1,4,1,4,c
0.575,0.15,0.97,4,4,1,4,0,c
0.55,0.37,0.83,1,1,2,2,1,b
0.3,0.36,0.15,3,1,4,1,5,a
0.95,0.94,0.39,2,2,1,5,2,e
0.85,0.55,0.87,0,2,5,3,4,d
0.95,0.96,0.42,0,0,4,1,0,e
0.35,0.46,0.08,3,1,4,5,5,a
0.35,0.43,0.1,2,3,4,4,1,a
0.55,0.1,0.91,1,2,3,5,0,c
0.8,0.43,0.89,1,3,4,2,3,d
0.725,0.53,0.82,3,0,0,5,2,d
0.575,0.03,0.87,3,4,3,4,5,c
0.4,0.49,0.05,3,3,3,5,2,a
0.825,0.52,0.88,5,5,5,4,2,d
0.325,0.45,0.0,4,4,5,5,2,a
0.5,0.45,0.91,3,0,3,0,0,b
0.4,0.38,0.13,1,5,4,4,0,a
0.65,0.12,0.98,5,1,1,3,5,c
0.35,0.39,0.09,1,4,4,5,3,a
0.8,0.43,0.82,5,3,2,2,0,d
0.8,0.46,0.92,4,2,1,5,1,d
0.6,0.16,0.92,4,5,5,3,4,c
0.525,0.31,0.86,3,5,1,0,1,b
0.95,0.95,0.45,5,0,1,2,5,e
0.5,0.32,0.79,4,5,1,4,1,b
0.85,0.44,0.83,1,5,2,5,2,d
0.275,0.39,0.13,4,1,5,1,4,a
0.5,0.3,0.89,1,2,0,5,4,b
0.725,0.54,0.8,3,1,2,3,1,d
0.375,0.39,0.14,2,3,2,1,2,a
0.425,0.37,0.86,0,4,1,4,5,b
0.625,0.14,0.9,5,5,3,1,1,c
0.525,0.32,0.85,3,2,4,0,3,b
0.475,0.34,0.84,4,4,1,3,3,b
0.275,0.43,0.11,5,5,5,5,3,a
0.4,0.32,0.83,2,0,2,4,2,b
0.45,0.3,0.78,1,3,2,5,1,b
0.525,0.29,0.81,0,0,4,2,4,b
0.425,0.36,0.84,4,4,4,0,2,b
0.875,0.99,0.36,2,2,1,3,4,e
0.925,0.89,0.37,0,2,1,5,3,e
0.575,0.08,0.94,2,4,4,2,1,c
0.65,0.16,0.99,2,5,1,0,0,c
0.625,0.15,0.85,0,3,3,0,4,c
0.475,0.42,0.94,1,4,5,0,1,b
0.775,0.47,0.89,3,5,4,5,5,d
0.6,0.12,0.87,3,4,3,4,4,c
0.95,0.93,0.43,4,4,2,3,1,e
0.425,0.34,0.86,3,0,0,4,4,b
0.95,0.99,0.31,5,2,4,4,4,e
0.45,0.41,0.8,4,4,2,4,3,b
0.675,0.14,0.91,4,2,1,1,3,c
0.8,0.48,0.93,1,5,4,3,1,d
0.575,0.06,0.89,4,5,4,3,4,c
1.0,0.92,0.42,4,2,1,0,0,e
0.5,0.39,0.82,3,0,5,4,1,b
0.75,0.55,0.85,1,3,0,3,0,d
0.975,0.95,0.43,5,3,1,2,0,e
0.725,0.15,0.94,1,3,2,2,1,c
0.7,0.42,0.82,4,3,3,0,4,d
0.5,0.33,0.91,2,0,0,1,2,b
0.65,0.12,0.85,4,4,4,5,4,c
0.75,0.48,0.9,4,4,2,3,2,d
1.0,0.95,0.35,3,3,1,2,5,e
0.675,0.12,0.91,3,3,5,0,3,c
0.35,0.39,0.03,3,0,4,0,3,a
0.9,0.96,0.43,0,3,0,4,5,e
0.6,0.14,0.85,4,4,5,2,0,c
1.0,0.95,0.33,3,1,1,1,3,e
0.8,0.49,0.93,3,3,1,0,3,d
0.325,0.5,0.06,2,2,5,2,5,a
0.375,0.47,0.02,1,2,5,3,5,a
0.575,0.11,0.86,3,3,0,5,2,c
0.35,0.35,0.08,1,5,2,1,5,a
0.9,0.92,0.35,2,0,0,5,0,e
0.875,0.95,0.32,5,4,4,3,3,e
0.275,0.39,0.06,3,2,2,3,3,a
0.725,0.5,0.86,3,0,1,2,0,d
0.9,0.87,0.37,0,5,1,2,4,e
0.425,0.37,0.93,4,5,3,0,3,b
0.275,0.38,0.12,4,2,2,1,2,a
0.25,0.4,0.13,3,4,0,3,1,a
0.975,0.96,0.42,1,2,5,1,4,e
1.0,0.88,0.35,4,0,4,2,2,e
0.55,0.41,0.82,4,4,2,4,0,b
0.975,0.84,0.37,2,2,1,5,2,e
0.575,0.19,0.96,3,1,4,3,2,c
0.85,0.85,0.34,2,1,2,1,2,e
0.875,0.87,0.37,5,2,2,2,2,e
0.425,0.4,0.91,5,0,5,2,4,b
